İsim,Fiyat,Yüzde,Zaman
ADEL,Veri Bulunamadı,Veri Bulunamadı,Veri Bulunamadı
AEFES,Veri Bulunamadı,Veri Bulunamadı,Veri Bulunamadı
AGHOL,Veri Bulunamadı,Veri Bulunamadı,Veri Bulunamadı
AGROT,Veri Bulunamadı,Veri Bulunamadı,Veri Bulunamadı
AKBNK,Veri Bulunamadı,Veri Bulunamadı,Veri Bulunamadı
AKFGY,Veri Bulunamadı,Veri Bulunamadı,Veri Bulunamadı
AKFYE,Veri Bulunamadı,Veri Bulunamadı,Veri Bulunamadı
AKSA,Veri Bulunamadı,Veri Bulunamadı,Veri Bulunamadı
AKSEN,Veri Bulunamadı,Veri Bulunamadı,Veri Bulunamadı
ALARK,Veri Bulunamadı,Veri Bulunamadı,Veri Bulunamadı
ALFAS,Veri Bulunamadı,Veri Bulunamadı,Veri Bulunamadı
ALTNY,Veri Bulunamadı,Veri Bulunamadı,Veri Bulunamadı
ANSGR,Veri Bulunamadı,Veri Bulunamadı,Veri Bulunamadı
ARCLK,Veri Bulunamadı,Veri Bulunamadı,Veri Bulunamadı
ARDYZ,Veri Bulunamadı,Veri Bulunamadı,Veri Bulunamadı
ASELS,Veri Bulunamadı,Veri Bulunamadı,Veri Bulunamadı
ASTOR,Veri Bulunamadı,Veri Bulunamadı,Veri Bulunamadı
BERA,Veri Bulunamadı,Veri Bulunamadı,Veri Bulunamadı
BIMAS,Veri Bulunamadı,Veri Bulunamadı,Veri Bulunamadı
BINHO,Veri Bulunamadı,Veri Bulunamadı,Veri Bulunamadı
BJKAS,Veri Bulunamadı,Veri Bulunamadı,Veri Bulunamadı
BRSAN,Veri Bulunamadı,Veri Bulunamadı,Veri Bulunamadı
BRYAT,Veri Bulunamadı,Veri Bulunamadı,Veri Bulunamadı
BTCIM,Veri Bulunamadı,Veri Bulunamadı,Veri Bulunamadı
CANTE,Veri Bulunamadı,Veri Bulunamadı,Veri Bulunamadı
CCOLA,Veri Bulunamadı,Veri Bulunamadı,Veri Bulunamadı
CIMSA,Veri Bulunamadı,Veri Bulunamadı,Veri Bulunamadı
CLEBI,Veri Bulunamadı,Veri Bulunamadı,Veri Bulunamadı
CWENE,Veri Bulunamadı,Veri Bulunamadı,Veri Bulunamadı
DOAS,Veri Bulunamadı,Veri Bulunamadı,Veri Bulunamadı
DOHOL,Veri Bulunamadı,Veri Bulunamadı,Veri Bulunamadı
ECILC,Veri Bulunamadı,Veri Bulunamadı,Veri Bulunamadı
EGEEN,Veri Bulunamadı,Veri Bulunamadı,Veri Bulunamadı
EKGYO,Veri Bulunamadı,Veri Bulunamadı,Veri Bulunamadı
ENERY,Veri Bulunamadı,Veri Bulunamadı,Veri Bulunamadı
ENJSA,Veri Bulunamadı,Veri Bulunamadı,Veri Bulunamadı
ENKAI,Veri Bulunamadı,Veri Bulunamadı,Veri Bulunamadı
EREGL,Veri Bulunamadı,Veri Bulunamadı,Veri Bulunamadı
EUPWR,Veri Bulunamadı,Veri Bulunamadı,Veri Bulunamadı
FENER,Veri Bulunamadı,Veri Bulunamadı,Veri Bulunamadı
FROTO,Veri Bulunamadı,Veri Bulunamadı,Veri Bulunamadı
GARAN,Veri Bulunamadı,Veri Bulunamadı,Veri Bulunamadı
GESAN,Veri Bulunamadı,Veri Bulunamadı,Veri Bulunamadı
GOLTS,Veri Bulunamadı,Veri Bulunamadı,Veri Bulunamadı
GUBRF,Veri Bulunamadı,Veri Bulunamadı,Veri Bulunamadı
HALKB,Veri Bulunamadı,Veri Bulunamadı,Veri Bulunamadı
HEKTS,Veri Bulunamadı,Veri Bulunamadı,Veri Bulunamadı
ISCTR,Veri Bulunamadı,Veri Bulunamadı,Veri Bulunamadı
ISMEN,Veri Bulunamadı,Veri Bulunamadı,Veri Bulunamadı
KARSN,Veri Bulunamadı,Veri Bulunamadı,Veri Bulunamadı
KCAER,Veri Bulunamadı,Veri Bulunamadı,Veri Bulunamadı
KCHOL,Veri Bulunamadı,Veri Bulunamadı,Veri Bulunamadı
KLSER,Veri Bulunamadı,Veri Bulunamadı,Veri Bulunamadı
KONTR,Veri Bulunamadı,Veri Bulunamadı,Veri Bulunamadı
KONYA,Veri Bulunamadı,Veri Bulunamadı,Veri Bulunamadı
KOZAA,Veri Bulunamadı,Veri Bulunamadı,Veri Bulunamadı
KOZAL,Veri Bulunamadı,Veri Bulunamadı,Veri Bulunamadı
KRDMD,Veri Bulunamadı,Veri Bulunamadı,Veri Bulunamadı
KTLEV,Veri Bulunamadı,Veri Bulunamadı,Veri Bulunamadı
LMKDC,Veri Bulunamadı,Veri Bulunamadı,Veri Bulunamadı
MAVI,Veri Bulunamadı,Veri Bulunamadı,Veri Bulunamadı
MGROS,Veri Bulunamadı,Veri Bulunamadı,Veri Bulunamadı
MIATK,Veri Bulunamadı,Veri Bulunamadı,Veri Bulunamadı
MPARK,Veri Bulunamadı,Veri Bulunamadı,Veri Bulunamadı
OBAMS,Veri Bulunamadı,Veri Bulunamadı,Veri Bulunamadı
ODAS,Veri Bulunamadı,Veri Bulunamadı,Veri Bulunamadı
OTKAR,Veri Bulunamadı,Veri Bulunamadı,Veri Bulunamadı
OYAKC,Veri Bulunamadı,Veri Bulunamadı,Veri Bulunamadı
PAPIL,Veri Bulunamadı,Veri Bulunamadı,Veri Bulunamadı
PEKGY,Veri Bulunamadı,Veri Bulunamadı,Veri Bulunamadı
